name,hurigana,type,hight,old,weight,birthday,blood,dominant,constellation,born,hobby,bust,waist,hip,roma
江上椿,えがみつばき,cute,161cm,19歳,46kg,2月6日,A,左,水瓶座,新潟,写真を撮ること,80,57,80,EGAMITUBAKI
長富蓮実,ながとみはすみ,cute,161cm,16歳,45kg,3月19日,A,右,魚座,島根,ボウリング・古着屋巡り,83,56,85,NAGATOMIHASUMI
横山千佳,よこやまちか,cute,127cm,9歳,31kg,12月18日,A,右,射手座,宮崎,魔法少女ごっこ,60,55,65,YOKOYAMATIKA
関裕美,せきひろみ,cute,155cm,14歳,43kg,8月17日,A,右,獅子座,富山,アクセサリー作り,78,55,80,SEKIHIROMI
太田優,おおたゆう,cute,159cm,21歳,45kg,1月28日,AB,両,水瓶座,千葉,犬のトリミング、美容,89,57,87,OOTAYUU
棟方愛海,むなかたあつみ,cute,151cm,14歳,41kg,8月1日,A,両,獅子座,青森,指の運動,73,56,75,MUNAKATAATUMI
藤本里奈,ふじもとりな,cute,154cm,18歳,41kg,10月14日,A,右,天秤座,湘南,単車乗り、コンビニで立ち読み,77,55,80,HUZIMOTORINA
大原みちる,おおはらみちる,cute,153cm,15歳,40kg,4月12日,O,右,牡羊座,福井,食べること,78,55,80,OOHARAMITIRU
遊佐こずえ,ゆさこずえ,cute,130cm,11歳,28kg,2月19日,B,右,魚座,高知,しゅみってなぁに？,62,50,65,YUSAKOZUE
大沼くるみ,おおぬまくるみ,cute,145cm,13歳,40kg,3月30日,A,右,牡羊座,石川,ポケットティッシュ収集、お風呂に入ること,おっきい,ふつう,まぁまぁ,OONUMAKURUMI
一ノ瀬志希,いちのせしき,cute,161cm,18歳,43kg,5月30日,O,右,双子座,岩手,観察・アヤしい科学実験・失踪,83,57,82,ITINOSESIKI
前川みく,まえかわみく,cute,152cm,15歳,45kg,2月22日,B,右,魚座,大阪,猫カフェ巡り,85,55,81,MAEKAWAMIKU
赤西瑛梨華,あかにしえりか,cute,154cm,16歳,55kg,7月7日,O,両,蟹座,岡山,漫才鑑賞,92,59,88,AKANISIERIKA
松原早耶,まつばらさや,cute,156cm,18歳,43kg,12月28日,AB,右,山羊座,兵庫,ブログ,83,58,86,MATUBARASAYA
相原雪乃,あいはらゆきの,cute,160cm,22歳,51kg,2月14日,A,左,水瓶座,秋田,紅茶,92,58,90,AIHARAYUKINO
宮本フレデリカ,みやもとふれでりか,cute,164cm,19歳,46kg,2月14日,B,左,水瓶座,パリ,ファッション,83,57,85,MIYAMOTOHUREDERIKA
小早川紗枝,こばやかわさえ,cute,148cm,15歳,42kg,10月18日,AB,右,天秤座,京都,日本舞踊,78,56,80,KOBAYAKAWASAE
西園寺琴歌,さいおんじことか,cute,156cm,17歳,46kg,1月23日,O,右,水瓶座,東京,押し花作り,87,57,85,SAIONZIKOTOKA
双葉杏,ふたばあんず,cute,139cm,17歳,30kg,9月2日,B,右,花も恥じらう乙女座,北海道,なし,?,?,?,HUTABAANZU
楊菲菲,やおふぇいふぇい,cute,152cm,15歳,41kg,9月29日,O,右,天秤座,香港,料理,82,58,84,YAOHWEIHWEI
桃井あずき,ももいあずき,cute,145cm,15歳,40kg,7月7日,A,右,蟹座,長野,金魚すくい,80,55,78,MOMOIAZUKI
涼宮星花,すずみやせいか,cute,158cm,19歳,45kg,8月28日,A,右,乙女座,岐阜,バイオリン,82,57,83,SUZUMIYASEIKA
月宮雅,つきみやみやび,cute,153cm,18歳,44kg,10月30日,B,右,蠍座,東京,ママとショッピング,86,56,82,TUKIMIYAMIYABI
兵藤レナ,ひょうどうれな,cute,167cm,27歳,48kg,10月3日,O,左,天秤座,東京,トランプ,92,56,84,HYOODOORENA
丹羽仁美,にわひとみ,cute,157cm,18歳,43kg,6月4日,B,右,双子座,名古屋,史跡巡り・武将グッズ収集,81,55,79,NIWAHITOMI
道明寺歌鈴,どうみょうじかりん,cute,155cm,17歳,43kg,1月1日,A,右,山羊座,奈良,境内のお掃除,80,55,83,DOOMYOOZIKARIN
柳清良,やなぎきよら,cute,158cm,23歳,47kg,5月12日,O,右,牡牛座,愛媛,ドキュメンタリー番組鑑賞,85,58,86,YANAGIKIYORA
井村雪菜,いむらせつな,cute,163cm,17歳,48kg,8月27日,AB,右,乙女座,秋田,メイク小物集め,85,60,88,IMURASETUNA
日下部若葉,くさかべわかば,cute,148cm,20歳,40kg,5月4日,O,右,牡牛座,群馬,ジグソーパズル,77,54,78,KUSAKABEWAKABA
榊原里美,さかきばらさとみ,cute,162cm,17歳,46kg,8月27日,O,右,乙女座,山形,甘いお菓子を食べること,91,56,86,SAKAKIBARASATOMI
輿水幸子,こしみずさちこ,cute,142cm,14歳,37kg,11月25日,B,左,射手座,山梨,勉強ノートの清書,74,52,75,KOSIMIZUSATIKO
安斎都,あんざいみやこ,cute,156cm,16歳,41kg,1月6日,B,右,山羊座,福井,探偵ドラマ・推理小説を見ること,78,55,77,ANZAIMIYAKO
浅野風香,あさのふうか,cute,160cm,16歳,48kg,2月11日,A,右,水瓶座,滋賀,小説を書くこと,88,59,84,ASANOHUUKA
大西由里子,おおにしゆりこ,cute,156cm,20歳,44kg,3月20日,O,右,魚座,香川,ネットサーフィン・読書,81,58,83,OONISIYURIKO
安部菜々,あべなな,cute,146cm,永遠の17歳,40kg,5月15日,O,右,牡牛座,ウサミン星,ウサミン星との交信,84,57,84,ABENANA
工藤忍,くどうしのぶ,cute,154cm,16歳,41kg,3月9日,A,左,魚座,青森,おまけ集め,78,54,81,KUDOOSINOBU
栗原ネネ,くりはらねね,cute,161cm,15歳,44kg,9月9日,A,右,乙女座,群馬,テレビ鑑賞・健康作り,77,54,78,KURIHARANENE
古賀小春,こがこはる,cute,140cm,12歳,35kg,4月1日,O,左,牡羊座,佐賀,イグアナのヒョウくんと遊ぶこと、家のお手伝い,72,54,77,KOGAKOHARU
クラリス,くらりす,cute,166cm,20歳,45kg,8月26日,AB,右,乙女座,兵庫,ボランティア,80,55,82,KURARISU
佐久間まゆ,さくままゆ,cute,153cm,16歳,40kg,9月7日,B,両,乙女座,仙台,お料理、編み物,78,54,80,SAKUMAMAYU
村松さくら,むらまつさくら,cute,145cm,15歳,38kg,3月27日,O,右,牡羊座,静岡,ピンクのもの集め,75,55,77,MURAMATUSAKURA
白菊ほたる,しらぎくほたる,cute,156cm,13歳,42kg,4月19日,AB,左,牡羊座,鳥取,笑顔の練習・アイドルレッスン,77,53,79,SIRAGIKUHOTARU
早坂美玲,はやさかみれい,cute,147cm,14歳,39kg,5月9日,B,右,牡牛座,宮城,ぬいぐるみ集め,75,54,77,HAYASAKAMIREI
有浦柑奈,ありうらかんな,cute,155cm,19歳,44kg,3月6日,O,右,魚座,長崎,ラブ＆ピース,78,57,80,ARIURAKANNA
乙倉悠貴,おとくらゆうき,cute,164cm,13歳,40kg,10月6日,A,右,天秤座,岡山,ミックスジュース作り・スクラップブック作り,70,53,74,OTOKURAYUUKI
原田美世,はらだみよ,cute,163cm,20歳,46kg,11月14日,O,右,蠍座,石川,クルマ・バイクいじり,86,59,85,HARADAMIYO
池袋晶葉,いけぶくろあきは,cute,148cm,14歳,39kg,6月10日,B,右,双子座,東京,ロボット制作,75,53,74,IKEBUKUROAKIHA
渋谷凛,しぶやりん,cool,165cm,15歳,44kg,8月10日,B,右,獅子座,東京,犬の散歩,80,56,81,SIBUYARIN
黒川千秋,くろかわちあき,cool,163cm,20歳,45kg,2月26日,B,右,魚座,北海道,クラシック鑑賞,86,57,86,KUROKAWATIAKI
松本沙理奈,まつもとさりな,cool,165cm,22歳,48kg,9月1日,A,右,乙女座,東京,ショッピング,92,58,85,MATUMOTOSARINA
桐野アヤ,きりのあや,cool,160cm,19歳,43kg,4月8日,A,右,牡羊座,福岡,格闘技観戦,86,56,86,KIRINOAYA
高橋礼子,たかはしれいこ,cool,167cm,31歳,51kg,5月8日,O,右,牡牛座,神奈川,パーティーに行くこと,91,62,90,TAKAHASIREIKO
相川千夏,あいかわちなつ,cool,161cm,23歳,43kg,11月11日,B,右,蠍座,北海道,カフェで読書,82,56,85,AIKAWATINATU
川島瑞樹,かわしまみずき,cool,159cm,28歳,44kg,11月25日,A,右,射手座,大阪,掃除、洗濯,87,57,85,KAWASIMAMIZUKI
神谷奈緒,かみやなお,cool,154cm,17歳,44kg,9月16日,AB,左,乙女座,千葉,アニメ鑑賞,83,58,81,KAMIYANAO
上条春菜,かみじょうはるな,cool,156cm,18歳,42kg,4月10日,O,右,牡羊座,静岡,猫と縁側でお昼寝,79,56,80,KAMIZYOOHARUNA
荒木比奈,あらきひな,cool,157cm,20歳,43kg,4月9日,A,右,牡羊座,神奈川,漫画描く,83,57,82,ARAKIHINA
東郷あい,とうごうあい,cool,167cm,23歳,45kg,2月7日,AB,両,水瓶座,福島,サックス,82,57,83,TOOGOOAI
多田李衣菜,ただりいな,cool,152cm,17歳,41kg,6月30日,A,右,蟹座,東京,音楽鑑賞,80,55,81,TADARIINA
水木聖來,みずきせいら,cool,155cm,23歳,43kg,4月27日,B,右,牡牛座,茨城,犬の散歩,82,55,80,MIZUKISEIRA
佐々木千枝,ささきちえ,cool,139cm,11歳,33kg,6月7日,AB,左,双子座,富山,裁縫,73,49,73,SASAKITIE
三船美優,みふねみゆ,cool,165cm,26歳,46kg,2月25日,AB,右,魚座,岩手,アロマテラピー,85,60,85,MIHUNEMIYU
服部瞳子,はっとりとうこ,cool,169cm,25歳,48kg,10月11日,O,左,天秤座,大分,熱帯魚観賞・温泉めぐり,78,57,80,HATTORITOOKO
木場真奈美,きばまなみ,cool,172cm,25歳,50kg,8月8日,AB,右,獅子座,長崎,筋トレ・料理,88,60,89,KIBAMANAMI
藤原肇,ふじわらはじめ,cool,161cm,16歳,43kg,6月15日,B,両,双子座,岡山,陶芸、釣り,80,55,84,HUZIWARAHAZIME
新田美波,にったみなみ,cool,165cm,19歳,45kg,7月27日,O,右,獅子座,広島,ラクロス、資格取得,82,55,85,NITTAMINAMI
水野翠,みずのみどり,cool,164cm,18歳,47kg,12月5日,AB,右,射手座,愛知,弓道,80,54,81,MIZUNOMIDORI
古澤頼子,ふるさわよりこ,cool,166cm,17歳,45kg,5月18日,A,左,牡牛座,茨城,美術展・博物展観覧,81,59,83,HURUSAWAYORIKO
橘ありす,たちばなありす,cool,141cm,12歳,34kg,7月31日,A,右,獅子座,兵庫,ゲーム・読書（ミステリー）,68,52,67,TATIBANAARISU
鷺沢文香,さぎさわふみか,cool,162cm,19歳,45kg,10月27日,AB,右,蠍座,長野,本屋めぐり・栞作り,84,54,81,SAGISAWAHUMIKA
八神マキノ,やがみまきの,cool,160cm,18歳,45kg,11月7日,B,右,蠍座,岐阜,諜報活動,85,56,83,YAGAMIMAKINO
ライラ,らいら,cool,150cm,16歳,40kg,5月21日,O,右,双子座,ドバイ,公園で知らない人とおしゃべり,75,54,78,RAIRA
浅利七海,あさりななみ,cool,151cm,14歳,41kg,10月9日,A,右,天秤座,青森,釣り・絵日記,78,55,77,ASARINANAMI
ヘレン,へれん,cool,158cm,24歳,46kg,4月4日,AB,右,牡羊座,海の向こう,DVD鑑賞,90,58,81,HEREN
松永涼,まつながりょう,cool,160cm,18歳,47kg,10月1日,AB,右,天秤座,東京,ホラー映画鑑賞,90,56,86,MATUNAGARYOO
小室千奈美,こむろちなみ,cool,164cm,19歳,45kg,6月9日,AB,右,双子座,愛知,ダーツ,84,56,82,KOMUROTINAMI
高峯のあ,たかみねのあ,cool,168cm,24歳,48kg,3月25日,B,右,牡羊座,奈良,天体観測,87,55,86,TAKAMINENOA
高垣楓,たかがきかえで,cool,171cm,25歳,49kg,6月14日,AB,左,双子座,和歌山,温泉めぐり,81,57,83,TAKAGAKIKAEDE
神崎蘭子,かんざきらんこ,cool,156cm,14歳,41kg,4月8日,A,右,牡羊座,熊本,絵を描くこと,81,57,80,KANZAKIRANKO
伊集院惠,いじゅういんめぐみ,cool,160cm,21歳,44kg,9月24日,O,左,天秤座,東京,一人旅,86,56,81,IZYUUINMEGUMI
柊志乃,ひいらぎしの,cool,167cm,31歳,43kg,12月25日,AB,左,山羊座,山梨,ワインツーリズム（産地巡り）,84,54,83,HIIRAGISINO
北条加蓮,ほうじょうかれん,cool,155cm,16歳,42kg,9月5日,B,右,乙女座,東京,ネイル,83,55,81,HOOZYOOKAREN
ケイト,けいと,cool,157cm,20歳,45kg,8月15日,O,右,獅子座,イギリス,日本の雑誌を見るコト,83,59,85,KEITO
瀬名詩織,せなしおり,cool,165cm,19歳,48kg,1月10日,A,右,山羊座,沖縄,海沿いを散歩,85,58,83,SENASIORI
綾瀬穂乃香,あやせほのか,cool,161cm,17歳,46kg,5月29日,A,右,双子座,宮城,バレエ,85,57,84,AYASEHONOKA
佐城雪美,さじょうゆきみ,cool,137cm,10歳,30kg,9月28日,AB,右,天秤座,京都,ペット（黒猫）と会話,63,47,65,SAZYOOYUKIMI
篠原礼,しのはられい,cool,171cm,27歳,49kg,11月22日,B,左,蠍座,宮崎,社交ダンス,93,58,88,SINOHARAREI
和久井留美,わくいるみ,cool,168cm,26歳,49kg,4月7日,A,左,牡羊座,広島,仕事,81,60,86,WAKUIRUMI
吉岡沙紀,よしおかさき,cool,166cm,17歳,43kg,5月8日,A,右,牡牛座,神奈川,ストリートアート,86,60,85,YOSIOKASAKI
梅木音葉,うめきおとは,cool,172cm,19歳,49kg,6月20日,AB,右,双子座,北海道,森林浴・ピアノ,86,58,85,UMEKIOTOHA
白坂小梅,しらさかこうめ,cool,142cm,13歳,34kg,3月28日,AB,左,牡羊座,兵庫,ホラー・スプラッタ映画鑑賞　心霊スポット巡り,65,50,70,SIRASAKAKOOME
岸部彩華,きしべあやか,cool,162cm,19歳,46kg,11月13日,A,右,蠍座,埼玉,ネイルアート・エステ・岩盤浴,89,59,85,KISIBEAYAKA
氏家むつみ,うじいえむつみ,cool,152cm,13歳,42kg,7月13日,AB,右,蟹座,栃木,冒険小説を読む・冒険映画を見る事,78,57,80,UZIIEMUTUMI
西川保奈美,にしかわほなみ,cool,155cm,16歳,55kg,10月23日,A,両,天秤座,兵庫,オペラ鑑賞・宝塚鑑賞,88,60,86,NISIKAWAHONAMI
成宮由愛,なるみやゆめ,cool,150cm,13歳,40kg,11月3日,AB,両,蠍座,滋賀,写生・水彩画,72,51,73,NARUMIYAYUME
藤居朋,ふじいとも,cool,163cm,19歳,45kg,7月1日,O,右,蟹座,滋賀,占い,78,57,83,HUZIITOMO
塩見周子,しおみしゅうこ,cool,163cm,18歳,45kg,12月12日,B,左,射手座,京都,献血・ダーツ,82,56,81,SIOMISYUUKO
脇山珠美,わきやまたまみ,cool,145cm,16歳,38kg,9月20日,B,右,乙女座,佐賀,剣道・時代小説を読むこと,72,53,75,WAKIYAMATAMAMI
岡崎泰葉,おかざきやすは,cool,153cm,16歳,43kg,7月16日,A,左,蟹座,長崎,ドールハウス作り,79,55,80,OKAZAKIYASUHA
速水奏,はやみかなで,cool,162cm,17歳,43kg,7月1日,O,右,蟹座,東京,映画鑑賞,86,55,84,HAYAMIKANADE
大石泉,おおいしいずみ,cool,157cm,15歳,41kg,11月11日,A,右,蠍座,静岡,プログラミング,83,55,82,OOISIIZUMI
松尾千鶴,まつおちづる,cool,161cm,15歳,45kg,3月21日,A,右,牡羊座,福岡,勉強・習字,78,54,81,MATUOTIZURU
森久保乃々,もりくぼのの,cool,149cm,14歳,38kg,8月27日,AB,左,乙女座,神奈川,ポエム作り、少女漫画集め,73,55,76,MORIKUBONONO
アナスタシア,あなすたしあ,cool,165cm,15歳,43kg,9月19日,O,両,乙女座,北海道,ホームパーティー・天体観測,80,54,80,ANASUTASIA
大和亜季,やまとあき,cool,165cm,21歳,51kg,12月16日,O,左,射手座,福岡,サバゲー、プラモ収集,92,60,85,YAMATOAKI
結城晴,ゆうきはる,cool,140cm,12歳,37kg,7月17日,A,右,蟹座,愛媛,サッカー,74,55,78,YUUKIHARU
二宮飛鳥,にのみやあすか,cool,154cm,14歳,42kg,2月3日,B,右,水瓶座,静岡,ヘアアレンジ、ラジオを聴くこと、漫画を描くこと,75,55,78,NINOMIYAASUKA
桐生つかさ,きりゅうつかさ,cool,164cm,18歳,45kg,2月24日,A,右,魚座,福井,異業種交流、ホットヨガ、ぬか床の世話,83,55,82,KIRYUUTUKASA
望月聖,もちづきひじり,cool,150cm,13歳,37kg,12月25日,O,右,山羊座,長野,歌を口ずさむこと,82,59,86,MOTIZUKIHIZIRI
鷹富士茄子,たかふじかこ,cool,160cm,20歳,43kg,1月1日,AB,右,山羊座,島根,隠し芸,88,57,88,TAKAHUZIKAKO
本田未央,ほんだみお,passion,161cm,15歳,46kg,12月1日,B,右,射手座,千葉,ショッピング,84,58,87,HONDAMIO
高森藍子,たかもりあいこ,passion,155cm,16歳,42kg,7月25日,O,右,獅子座,東京,近所の公園をお散歩,74,60,79,TAKAMORIAIKO
並木芽衣子,なみきめいこ,passion,160cm,22歳,44kg,10月14日,AB,右,天秤座,和歌山,旅行,80,57,82,NAMIKIMEIKO
龍崎薫,りゅうざきかおる,passion,132cm,9歳,32kg,7月20日,O,右,蟹座,愛媛,料理,65,51,70,RYUUZAKIKAORU
木村夏樹,きむらなつき,passion,159cm,18歳,41kg,8月19日,AB,左,獅子座,茨城,ツーリング,82,57,83,KIMURANATUKI
松山久美子,まつやまくみこ,passion,161cm,21歳,44kg,1月21日,A,右,水瓶座,神奈川,ピアノ,81,56,81,MATUYAMAKUMIKO
斉藤洋子,さいとうようこ,passion,157cm,20歳,46kg,12月29日,O,右,山羊座,福岡,半身浴,85,57,82,SAITOOYOOKO
沢田麻理菜,さわだまりな,passion,166cm,26歳,47kg,5月6日,B,右,牡牛座,長野,サーフィン,87,57,87,SAWADAMARINA
矢口美羽,やぐちみう,passion,150cm,14歳,41kg,7月10日,B,右,蟹座,千葉,メール,81,56,80,YAGUTIMIU
赤城みりあ,あかぎみりあ,passion,140cm,11歳,36kg,4月14日,AB,左,牡羊座,東京,おしゃべり,75,55,78,AKAGIMIRIA
愛野渚,あいのなぎさ,passion,163cm,18歳,47kg,8月1日,A,右,獅子座,愛知,バスケットボール,84,58,85,AINONAGISA
真鍋いつき,まなべいつき,passion,165cm,22歳,46kg,12月29日,O,右,山羊座,石川,とにかく運動,85,57,83,MANABEITUKI
大槻唯,おおつきゆい,passion,155cm,17歳,42kg,5月7日,B,左,牡牛座,埼玉,カラオケ,84,56,83,OOTUKIYUI
姫川友紀,ひめかわゆき,passion,161cm,20歳,44kg,9月14日,A,右,乙女座,宮崎,野球観戦,80,57,80,HIMEKAWAYUKI
喜多見柚,きたみゆず,passion,156cm,15歳,43kg,12月2日,B,左,射手座,埼玉,バドミントン,82,57,82,KITAMIYUZU
上田鈴帆,うえだすずほ,passion,156cm,14歳,42kg,10月26日,O,右,蠍座,福岡,裁縫,76,55,79,UEDASUZUHO
海老原菜帆,えびはらなほ,passion,162cm,17歳,58kg,8月3日,O,右,獅子座,熊本,散歩・和菓子屋さん巡り,92,65,93,EBIHARANAHO
及川雫,おいかわしずく,passion,170cm,16歳,56kg,6月3日,O,両,双子座,岩手,乳搾り、トラクターの運転,105,64,92,OIKAWASIZUKU
小関麗奈,こせきれいな,passion,148cm,13歳,41kg,3月5日,B,右,魚座,山形,いたずら,75,50,77,KOSEKIREINA
衛藤美紗希,えとうみさき,passion,160cm,22歳,45kg,3月18日,O,左,魚座,大分,携帯小説、女子力アップ,84,56,80,ETOOMISAKI
星輝子,ほししょうこ,passion,142cm,15歳,35kg,6月6日,B,左,双子座,福島,キノコ栽培,73,53,75,HOSISYOOKO
片桐早苗,かたぎりさなえ,passion,152cm,28歳,47kg,3月7日,O,右,魚座,新潟,マッサージ・スーパー銭湯,92,58,84,KATAGIRISANAE
堀裕子,ほりゆうこ,passion,157cm,16歳,44kg,3月13日,O,右,魚座,福井,サイキックトレーニング,81,58,80,HORIYUUKO
西島櫂,にしじまかい,passion,172cm,19歳,49kg,8月17日,O,右,獅子座,大阪,水族館巡り,86,59,83,NISIZIMAKAI
的場梨沙,まとばりさ,passion,143cm,12歳,38kg,11月19日,B,右,蠍座,山口,ダンス、パパとデート,71,58,73,MATOBARISA
財前時子,ざいぜんときこ,passion,168cm,21歳,46kg,4月18日,B,右,牡羊座,名古屋,お仕置き、豚を料理すること,83,55,85,ZAIZENTOKIKO
依田芳乃,よりたよしの,passion,151cm,16歳,40kg,7月3日,O,右,蟹座,鹿児島,悩み事解決・石ころ集め・失せ物探し,73,53,73,YORITAYOSINO
相葉夕美,あいばゆみ,passion,158cm,18歳,42kg,4月15日,O,右,牡羊座,神奈川,ガーデニング,81,57,80,AIBAYUMI
野々村そら,ののむらそら,passion,157cm,15歳,46kg,1月3日,B,右,山羊座,福岡,友達と電話,84,57,85,NONOMURASORA
浜川愛結奈,はまかわあゆな,passion,168cm,22歳,50kg,5月25日,B,右,双子座,大阪,乗馬,92,58,85,HAMAKAWAAYUNA
若林智香,わかばやしともか,passion,156cm,17歳,45kg,8月30日,A,右,乙女座,鹿児島,チアリーディング,82,57,83,WAKABAYASITOMOKA
城ヶ崎美嘉,じょうがさきみか,passion,162cm,17歳,43kg,11月12日,AB,左,蠍座,埼玉,カラオケ,80,56,82,ZYOOGASAKIMIKA
城ヶ崎莉嘉,じょうがさきりか,passion,149cm,12歳,36kg,7月30日,B,左,獅子座,埼玉,シール集め,72,54,75,ZYOOGASAKIRIKA
仙崎恵磨,せんざきえま,passion,156cm,21歳,45kg,6月27日,O,左,蟹座,大阪,革小物集め,81,55,81,SENZAKIEMA
日野茜,ひのあかね,passion,148cm,17歳,40kg,8月4日,AB,右,獅子座,栃木,ラグビー観戦,80,60,82,HINOAKANE
諸星きらり,もろぼしきらり,passion,182cm,17歳,60kg,9月1日,O,右,乙女座,東京,かわいい物集め,91,64,86,MOROBOSIKIRARI
十時愛梨,とときあいり,passion,161cm,18歳,46kg,12月8日,O,右,射手座,秋田,ケーキ作り,86,58,88,TOTOKIAIRI
ナターリア,なたーりあ,passion,155cm,14歳,43kg,6月29日,A,右,蟹座,リオ・デ・ジャネイロ,ベリーダンス,84,55,86,NATAARIA
相馬夏美,そうまなつみ,passion,160cm,25歳,46kg,7月23日,A,右,獅子座,京都,ランニング,83,60,89,SOOMANATUMI
槙原志保,まきはらしほ,passion,162cm,19歳,46kg,4月27日,B,右,牡牛座,三重,スイーツめぐり,86,57,91,MAKIHARASIHO
向井拓海,むかいたくみ,passion,163cm,18歳,53kg,8月7日,A,右,獅子座,神奈川,バイクいじり,95,60,87,MUKAITAKUMI
市原仁奈,いちはらにな,passion,128cm,9歳,29kg,2月8日,B,左,水瓶座,静岡,着ぐるみ集め,61,57,67,ITIHARANINA
喜多日菜子,きたひなこ,passion,151cm,15歳,38kg,4月6日,AB,右,牡羊座,秋田,妄想,78,56,78,KITAHINAKO
杉坂海,すぎさかうみ,passion,162cm,18歳,45kg,7月20日,B,右,蟹座,山口,ウィンドサーフィン,88,58,86,SUGISAKAUMI
北川真尋,きたがわまひろ,passion,158cm,17歳,43kg,2月17日,O,右,水瓶座,香川,走ること・食べること・寝ること,75,57,79,KITAGAWAMAHIRO
メアリー・コクラン,めありー・こくらん,passion,152cm,11歳,41kg,1月19日,B,左,山羊座,サンフランシスコ,女磨き・グルメツアー,71,59,73,MEARII□KOKURAN
小松伊吹,こまついぶき,passion,165cm,19歳,48kg,11月17日,O,右,蠍座,茨城,ストリートダンス・スケボー・恋愛映画を見る事,85,59,88,KOMATUIBUKI
三好紗南,みよしさな,passion,149cm,14歳,39kg,6月25日,B,右,蟹座,香川,TVゲーム・夜更かし,75,56,80,MIYOSISANA
キャシー・グラハム,きゃしー・ぐらはむ,passion,168cm,15歳,49kg,9月19日,O,左,乙女座,ニューヨーク,インラインスケート・ダンス,83,56,85,KYASII□GURAHAMU
難波笑美,なんばえみ,passion,158cm,17歳,45kg,5月1日,O,右,牡牛座,大阪,お笑いライブ巡り、モノマネ,82,56,80,NANBAEMI
浜口あやめ,はまぐちあやめ,passion,154cm,15歳,42kg,1月13日,A,左,山羊座,三重,時代劇鑑賞、忍者グッズ収集、撮影所巡り,78,55,80,HAMAGUTIAYAME
村上巴,むらかみともえ,passion,146cm,13歳,37kg,1月3日,A,右,山羊座,広島,演歌、将棋,74,53,76,MURAKAMITOMOE
土屋亜子,つちやあこ,passion,156cm,15歳,42kg,5月2日,B,右,牡牛座,静岡,貯金、食べること,85,54,83,TUTIYAAKO
首藤葵,しゅとうあおい,passion,145cm,13歳,39kg,8月18日,O,右,獅子座,大分,魚さばき,73,53,75,SYUTOOAOI
冴島清美,さえじまきよみ,passion,153cm,15歳,43kg,9月26日,A,右,天秤座,沖縄,掃除、整理整頓、腕章作り,76,58,78,SAEZIMAKIYOMI
佐藤心,さとうしん,passion,166cm,26歳,ダイエットちゅう,7月22日,AB,右,蟹座,長野,ドレスアップ・衣装作り,ぼんっ,きゅっ,ぼんっ♪,SATOOSIN
南条光,なんじょうひかる,passion,140cm,14歳,41kg,9月13日,B,右,乙女座,徳島,特撮番組鑑賞、特撮ごっこ,79,58,80,NANZYOOHIKARU
イヴ・サンタクロース,いヴ・さんたくろーす,passion,165cm,19歳,44kg,12月24日,B,右,山羊座,グリーンランド,煙突探し,81,56,80,IBU□SANTAKUROOSU
夢見りあむ,ゆめみりあむ,passion,149cm,19歳,リンゴたくさん,9月12日,AB,右,乙女座,やさしい世界,夜中の意味深ポエム、現場参戦,でっかい,ふつう,たぶんふつう,YUMEMIRIAMU
